rank,school,name,publication_count,field,field_source,ssrn_url_or_search_link,ssrn_match_type,ssrn_match_evidence,source_group,source_window,source_journals,byu_profile_url,utd_journal_breakdown,utd_year_breakdown,school_unit,notes
1,Duke University,Xu Jiang,8,Accounting,Defaulted from UTD top-3 accounting journal sample,https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1500075,ssrn_author_page,Ssrn privpapers.ssrn.com › sol3 › cf_dev › AbsByAuth.cfm Author Page for Xu Jiang :: SSRN,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6911&authorname=Jiang, Xu",The Accounting Review: 4; Journal of Accounting and Economics: 2; Journal of Accounting Research: 2,2025: 2; 2024: 1; 2023: 3; 2022: 2,The Fuqua School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
2,University of Pennsylvania,Frank S Zhou,7,Accounting,Defaulted from UTD top-3 accounting journal sample,https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2566976,ssrn_author_page,Ssrn privpapers.ssrn.com › sol3 › cf_dev › AbsByAuth.cfm Author Page for Frank Zhou :: SSRN,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8493&authorname=Zhou, Frank S.",Journal of Accounting Research: 3; Journal of Accounting and Economics: 2; The Accounting Review: 2,2025: 3; 2024: 2; 2023: 2,The Wharton School,Publication_count counts distinct UTD article records for this author-school affiliation.
3,University of Navarra,Gaizka Ormazabal,7,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Gaizka+Ormazabal+%22University+of+Navarra%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3379&authorname=Ormazabal, Gaizka",Journal of Accounting Research: 3; Journal of Accounting and Economics: 2; The Accounting Review: 2,2025: 1; 2024: 1; 2023: 3; 2021: 2,IESE Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
4,University of North Carolina at Chapel Hill,Stephen Glaeser,7,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Stephen+Glaeser+%22University+of+North+Carolina+at+Chapel+Hill%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7512&authorname=Glaeser, Stephen",Journal of Accounting and Economics: 3; The Accounting Review: 3; Journal of Accounting Research: 1,2025: 1; 2024: 2; 2023: 1; 2022: 2; 2021: 1,Kenan-Flagler Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
5,University of Pennsylvania,Christina Zhu,6,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Christina+Zhu+%22University+of+Pennsylvania%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7604&authorname=Zhu, Christina",The Accounting Review: 3; Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2025: 1; 2024: 1; 2023: 2; 2022: 1; 2021: 1,The Wharton School,Publication_count counts distinct UTD article records for this author-school affiliation.
6,Pennsylvania State University at State College (Penn State),Daniel Aobdia,6,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Daniel+Aobdia+%22Pennsylvania+State+University+at+State+College+%28Penn+State%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5583&authorname=Aobdia, Daniel",The Accounting Review: 4; Journal of Accounting and Economics: 2,2025: 2; 2024: 2; 2023: 1; 2021: 1,Smeal College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
7,Yale University,Edward M Watts,6,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Edward+M+Watts+%22Yale+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8659&authorname=Watts, Edward M.",Journal of Accounting and Economics: 3; Journal of Accounting Research: 3,2025: 1; 2024: 3; 2023: 1; 2021: 1,School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
8,University of Minnesota at Twin Cities,Gaoqing Zhang,6,Financial; Analytical,BYU interest areas,https://search.brave.com/search?q=Gaoqing+Zhang+%22University+of+Minnesota+at+Twin+Cities%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6288&authorname=Zhang, Gaoqing",The Accounting Review: 4; Journal of Accounting and Economics: 1; Journal of Accounting Research: 1,2025: 1; 2024: 2; 2023: 3,Carlson School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
9,University of London,Marcel Olbert,6,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Marcel+Olbert+%22University+of+London%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9758&authorname=Olbert, Marcel",Journal of Accounting and Economics: 2; Journal of Accounting Research: 2; The Accounting Review: 2,2025: 1; 2024: 1; 2023: 2; 2022: 2,London Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
10,University of Pennsylvania,Matthew J Bloomfield,6,Financial; Managerial; Analytical; Archival,BYU interest areas,https://search.brave.com/search?q=Matthew+J+Bloomfield+%22University+of+Pennsylvania%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6565&authorname=Bloomfield, Matthew J.",The Accounting Review: 2; Journal of Accounting Research: 2; Journal of Accounting and Economics: 2,2025: 1; 2024: 2; 2023: 1; 2021: 2,The Wharton School,Publication_count counts distinct UTD article records for this author-school affiliation.
11,University of California at Berkeley,Omri Even-Tov,6,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Omri+Even-Tov+%22University+of+California+at+Berkeley%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7499&authorname=Even-Tov, Omri",The Accounting Review: 3; Journal of Accounting Research: 2; Journal of Accounting and Economics: 1,2025: 2; 2024: 1; 2023: 2; 2021: 1,Walter A. Haas School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
12,Columbia University,Thomas Bourveau,6,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Thomas+Bourveau+%22Columbia+University%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7408&authorname=Bourveau, Thomas",The Accounting Review: 4; Journal of Accounting and Economics: 1; Journal of Accounting Research: 1,2025: 2; 2024: 2; 2022: 1; 2021: 1,Columbia Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
13,University of Texas at Austin,Volker Laux,6,Analytical; Managerial,BYU interest areas,https://search.brave.com/search?q=Volker+Laux+%22University+of+Texas+at+Austin%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=2533&authorname=Laux, Volker",Journal of Accounting and Economics: 2; Journal of Accounting Research: 2; The Accounting Review: 2,2024: 2; 2023: 1; 2022: 3,McCombs School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
14,Washington University in St. Louis,Xiumin Martin,6,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Xiumin+Martin+%22Washington+University+in+St.+Louis%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3371&authorname=Martin, Xiumin",The Accounting Review: 3; Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2025: 1; 2024: 1; 2023: 2; 2021: 2,Olin School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
15,New York University (NYU),Yiwei Dou,6,Financial; Managerial; Archival; Other Accounting Topics,BYU interest areas,https://search.brave.com/search?q=Yiwei+Dou+%22New+York+University+%28NYU%29%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5320&authorname=Dou, Yiwei",The Accounting Review: 3; Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2025: 1; 2024: 1; 2022: 1; 2021: 3,Leonard N Stern School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
16,Boston College,Benjamin P Yost,5,Financial; Tax; Archival,BYU interest areas,https://search.brave.com/search?q=Benjamin+P+Yost+%22Boston+College%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7501&authorname=Yost, Benjamin P.",Journal of Accounting and Economics: 3; Journal of Accounting Research: 1; The Accounting Review: 1,2025: 1; 2024: 1; 2023: 1; 2022: 1; 2021: 1,Carroll School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
17,Stanford University,Brandon Gipper,5,Audit; Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Brandon+Gipper+%22Stanford+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8197&authorname=Gipper, Brandon",Journal of Accounting and Economics: 3; Journal of Accounting Research: 1; The Accounting Review: 1,2024: 1; 2023: 1; 2021: 3,Graduate School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
18,University of Chicago,Charles G McClure,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Charles+G+McClure+%22University+of+Chicago%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,,The Accounting Review: 3; Journal of Accounting Research: 2,2025: 1; 2024: 2; 2023: 2,Booth School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
19,Stanford University,Charles M C Lee,5,Financial; Non-Accounting Topics; Archival,BYU interest areas,https://search.brave.com/search?q=Charles+M+C+Lee+%22Stanford+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=460&authorname=Lee, Charles M. C.",The Accounting Review: 4; Journal of Accounting and Economics: 1,2025: 1; 2024: 1; 2022: 2; 2021: 1,Graduate School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
20,University of Southern California,Clive Lennox,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Clive+Lennox+%22University+of+Southern+California%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,,Journal of Accounting and Economics: 3; The Accounting Review: 2,2025: 1; 2024: 1; 2023: 1; 2022: 2,Marshall School of Business (incl. Leventhal),Publication_count counts distinct UTD article records for this author-school affiliation.
21,Centre for Economic Policy Research (CEPR),Gaizka Ormazabal,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Gaizka+Ormazabal+%22Centre+for+Economic+Policy+Research+%28CEPR%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3379&authorname=Ormazabal, Gaizka",Journal of Accounting Research: 3; Journal of Accounting and Economics: 1; The Accounting Review: 1,2023: 3; 2021: 2,,Publication_count counts distinct UTD article records for this author-school affiliation.
22,European Corporate Governance Institute (ECGI),Gaizka Ormazabal,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Gaizka+Ormazabal+%22European+Corporate+Governance+Institute+%28ECGI%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3379&authorname=Ormazabal, Gaizka",Journal of Accounting Research: 3; Journal of Accounting and Economics: 1; The Accounting Review: 1,2023: 3; 2021: 2,,Publication_count counts distinct UTD article records for this author-school affiliation.
23,Washington University in St. Louis,Jeremy Bertomeu,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Jeremy+Bertomeu+%22Washington+University+in+St.+Louis%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3497&authorname=Bertomeu, Jeremy",Journal of Accounting and Economics: 2; The Accounting Review: 2; Journal of Accounting Research: 1,2025: 1; 2024: 1; 2023: 2; 2021: 1,Olin School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
24,Stanford University,Jinhwan Kim,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Jinhwan+Kim+%22Stanford+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8875&authorname=Kim, Jinhwan",Journal of Accounting and Economics: 4; Journal of Accounting Research: 1,2025: 2; 2023: 1; 2022: 1; 2021: 1,Graduate School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
25,Stanford University,John D Kepler,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=John+D+Kepler+%22Stanford+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7846&authorname=Kepler, John D.",Journal of Accounting and Economics: 4; The Accounting Review: 1,2024: 2; 2022: 1; 2021: 2,Graduate School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
26,Harvard University,Jonas Heese,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Jonas+Heese+%22Harvard+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7496&authorname=Heese, Jonas",The Accounting Review: 2; Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2025: 1; 2023: 1; 2021: 3,Harvard Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
27,Harvard University,Joseph Pacelli,5,Financial; Other Accounting Topics; Archival; Other Methods,BYU interest areas,https://search.brave.com/search?q=Joseph+Pacelli+%22Harvard+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7799&authorname=Pacelli, Joseph",The Accounting Review: 4; Journal of Accounting Research: 1,2025: 2; 2023: 2; 2022: 1,Harvard Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
28,Stanford University,Jung Ho Choi,5,Financial; Managerial; Analytical; Archival; Experimental; Other Methods,BYU interest areas,https://search.brave.com/search?q=Jung+Ho+Choi+%22Stanford+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9329&authorname=Choi, Jung Ho",Journal of Accounting Research: 3; Journal of Accounting and Economics: 2,2024: 1; 2023: 3; 2021: 1,Graduate School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
29,Rice University,Karthik Balakrishnan,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Karthik+Balakrishnan+%22Rice+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3416&authorname=Balakrishnan, Karthik",The Accounting Review: 2; Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2023: 1; 2022: 1; 2021: 3,Jesse H. Jones Graduate School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
30,Emory University,Kathryn Kadous,5,Audit; Financial; Experimental; Other Methods,BYU interest areas,https://search.brave.com/search?q=Kathryn+Kadous+%22Emory+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=565&authorname=Kadous, Kathryn",The Accounting Review: 5,2024: 1; 2022: 3; 2021: 1,Goizueta Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
31,University of Georgia,Kristen Valentine,5,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Kristen+Valentine+%22University+of+Georgia%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8923&authorname=Valentine, Kristen",Journal of Accounting Research: 2; Journal of Accounting and Economics: 2; The Accounting Review: 1,2025: 1; 2023: 1; 2022: 2; 2021: 1,Terry College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
32,University of Navarra,Martin Jacob,5,Tax; Archival,BYU interest areas,https://search.brave.com/search?q=Martin+Jacob+%22University+of+Navarra%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5617&authorname=Jacob, Martin",The Accounting Review: 2; Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2025: 4; 2024: 1,IESE Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
33,University of Texas at Austin,Matthew Kubic,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Matthew+Kubic+%22University+of+Texas+at+Austin%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9201&authorname=Kubic, Matthew",Journal of Accounting and Economics: 2; The Accounting Review: 2; Journal of Accounting Research: 1,2024: 1; 2023: 2; 2021: 2,McCombs School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
34,Columbia University,Matthias Breuer,5,Financial,BYU interest areas,https://search.brave.com/search?q=Matthias+Breuer+%22Columbia+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8109&authorname=Breuer, Matthias",Journal of Accounting Research: 3; The Accounting Review: 1; Journal of Accounting and Economics: 1,2025: 2; 2024: 2; 2021: 1,Columbia Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
35,Massachusetts Institute of Technology (MIT),Michelle Hanlon,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Michelle+Hanlon+%22Massachusetts+Institute+of+Technology+%28MIT%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=1010&authorname=Hanlon, Michelle",The Accounting Review: 4; Journal of Accounting and Economics: 1,2025: 1; 2023: 1; 2022: 1; 2021: 2,Sloan School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
36,INSEAD,Oliver Binz,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Oliver+Binz+%22INSEAD%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9487&authorname=Binz, Oliver",Journal of Accounting and Economics: 2; Journal of Accounting Research: 2; The Accounting Review: 1,2023: 2; 2022: 3,School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
37,Stanford University,Rebecca Lester,5,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Rebecca+Lester+%22Stanford+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5764&authorname=Lester, Rebecca",Journal of Accounting and Economics: 2; The Accounting Review: 2; Journal of Accounting Research: 1,2025: 2; 2023: 1; 2022: 1; 2021: 1,Graduate School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
38,University of Southern California,Richard G Sloan,5,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Richard+G+Sloan+%22University+of+Southern+California%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=227&authorname=Sloan, Richard G.",The Accounting Review: 2; Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2025: 1; 2024: 2; 2022: 1; 2021: 1,Marshall School of Business (incl. Leventhal),Publication_count counts distinct UTD article records for this author-school affiliation.
39,University of Texas at Austin,Ronghuo Zheng,5,Financial; Managerial; Analytical; Archival,BYU interest areas,https://search.brave.com/search?q=Ronghuo+Zheng+%22University+of+Texas+at+Austin%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7844&authorname=Zheng, Ronghuo",The Accounting Review: 2; Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2025: 1; 2024: 1; 2023: 1; 2022: 1; 2021: 1,McCombs School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
40,Texas A&M University at College Station,Sarah B Stuber,5,Audit; Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Sarah+B+Stuber+%22Texas+A%26M+University+at+College+Station%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8972&authorname=Stuber, Sarah B.",The Accounting Review: 3; Journal of Accounting and Economics: 1; Journal of Accounting Research: 1,2025: 1; 2024: 1; 2022: 2; 2021: 1,Mays Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
